epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,30.6947,1.91669,7.85417,0.77009,1.68228,0.04636,25.3243,0.99378,0.985,0.99312,0.49919,0.06409,0.06,0.00525,0.00059,1.74316,6.82547,0.86141,0.48801,0.07137,0,0.000652778,0.000652778,0.000652778
2,51.4521,1.53565,4.21756,0.65029,0.57451,0.03458,11.6272,0.999,0.985,0.9949,0.59421,0.63079,0.64,0.41016,0.0903,1.43215,3.89871,0.72363,0.38435,0.05967,0,0.00130312,0.00130312,0.00130312
3,71.9915,1.66586,2.65314,0.58417,0.61422,0.03744,8.11105,0.94696,0.935,0.92033,0.47484,0.8737,0.86468,0.78615,0.28023,1.68604,2.46904,0.75587,0.42742,0.06701,0,0.00193695,0.00193695,0.00193695
4,93.9417,1.51927,2.27581,0.53691,0.56594,0.03422,7.41547,1,0.99995,0.995,0.52407,0.16441,0.175,0.03894,0.00782,1.66997,5.74785,0.75336,0.39168,0.07396,0,0.00192575,0.00192575,0.00192575
5,113.859,1.48392,2.00478,0.51042,0.55968,0.03279,6.44389,0.93737,0.98,0.98249,0.56414,0.80765,0.845,0.74601,0.26558,1.51599,2.66341,0.53206,0.44874,0.06412,0,0.001901,0.001901,0.001901
6,135.385,1.40238,1.97188,0.50408,0.55095,0.03096,6.18926,0.99844,0.985,0.99475,0.67924,0.97302,0.96,0.96918,0.68012,1.17414,1.03593,0.54397,0.29664,0.04656,0,0.00187625,0.00187625,0.00187625
7,156.886,1.40493,1.7404,0.46958,0.52168,0.03181,5.84437,0.9878,0.99,0.9948,0.61917,0.96276,0.965,0.96535,0.6855,1.38979,1.08309,0.60445,0.3314,0.05985,0,0.0018515,0.0018515,0.0018515
8,178.405,1.30991,1.67581,0.47185,0.47508,0.02855,5.25562,0.99928,0.99,0.99485,0.65109,0.98652,0.99,0.99475,0.68904,1.22689,0.99191,0.61842,0.3013,0.04887,0,0.00182675,0.00182675,0.00182675
9,199.895,1.33605,1.53944,0.46653,0.49944,0.02946,4.92716,0.96613,0.99849,0.99421,0.66371,0.95646,0.98849,0.98122,0.70905,1.17278,1.0098,0.58699,0.31535,0.04708,0,0.001802,0.001802,0.001802
10,221.444,1.25993,1.51754,0.45272,0.48587,0.02797,5.07802,0.98517,0.99625,0.99419,0.68085,0.96045,0.97149,0.97094,0.70368,1.12309,1.05474,0.55383,0.2871,0.04531,0,0.00177725,0.00177725,0.00177725
11,243.322,1.23998,1.39069,0.45184,0.45197,0.027,4.69503,0.99497,0.98926,0.99432,0.61174,0.97486,0.96933,0.96143,0.60046,1.39736,1.26108,0.63699,0.33557,0.0568,0,0.0017525,0.0017525,0.0017525
12,264.95,1.19857,1.35854,0.44436,0.45487,0.02605,4.50819,0.97492,0.97168,0.99181,0.64932,0.95987,0.95684,0.96317,0.68358,1.23802,1.05915,0.58994,0.36006,0.04979,0,0.00172775,0.00172775,0.00172775
13,286.488,1.17013,1.34812,0.44197,0.44215,0.02518,4.42383,0.97,0.975,0.99123,0.73618,0.95002,0.955,0.96586,0.74585,0.91961,0.82227,0.60747,0.28011,0.03645,0,0.001703,0.001703,0.001703
14,308.299,1.23356,1.28882,0.4392,0.4478,0.02656,4.34488,1,0.98439,0.99495,0.59784,0.88169,0.89,0.83433,0.31518,1.45866,2.41346,0.57413,0.34295,0.06133,0,0.00167825,0.00167825,0.00167825
